filename,size_gb,modified,hint,repo_to_create
Bonsai-27B-Q1_0.gguf,3.54,2026-07-18 11:48,unsloth/Bonsai-27B-GGUF,
JonathanColetti-Qwen3.8-27B-Uncensored.Q6_K.gguf,20.89,2026-08-27 22:56,JonathanColetti/Qwen3.8-27B-Uncensored-GGUF,
Lance_3B_Video-Q8_0.gguf,7.10,2026-07-17 18:42,,
Ling-3.0-tiny-Q8_0.gguf,7.83,2026-08-18 13:45,unsloth/Ling-3.0-tiny-GGUF,
Ministral-3-3B-Instruct-2512-UD-Q4_K_XL.gguf,2.04,2026-07-17 18:43,unsloth/Ministral-3-3B-Instruct-2512-GGUF,
North-Mini-Code-1.0-Q6_K_L.gguf,24.71,2026-07-20 13:53,unsloth/North-Mini-Code-1.0-GGUF,
Ornith-1.0-9B-MTP-Q8_0.gguf,9.11,2026-07-12 20:13,ornith-ai/Ornith-1.0-9B-GGUF (MTP),
Phi-3.5-mini-instruct-Q4_K_M.gguf,2.23,2026-07-17 18:44,,
Qwen3-0.6B-Base.Q4_K_M.gguf,0.37,2026-07-17 18:44,,
Qwen3-14B-UD-Q4_K_XL.gguf,8.53,2026-07-21 15:47,,
Qwen3-4B-Instruct-2507-Q4_K_M.gguf,2.33,2026-07-17 18:44,,
Qwen3.5-4B-UD-Q4_K_XL.gguf,2.71,2026-07-19 09:54,,
Qwen3.5-9B-Claude-4.6-OS-AV-H-UNCENSORED-THINK-D_AU-Q8_0.gguf,9.77,2026-07-30 06:21,unsloth/Qwen3.5-9B-Claude-4.6-OS-AV-H-UNCENSORED-THINK-D_AU-GGUF,
Qwen3.5-9B-UD-Q6_K_XL.gguf,8.16,2026-07-17 18:46,,
Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q6_K.gguf,22.38,2026-07-21 06:58,unsloth/Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-GGUF,
Qwen3.6-27B-NEO-CODE-2T-OT-Q6_K.gguf,20.86,2026-07-20 23:14,unsloth/Qwen3.6-27B-NEO-CODE-2T-OT-GGUF,
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q6_K.gguf,20.86,2026-07-20 23:11,unsloth/Qwen3.6-27B-NEO-CODE-HERE-2T-OT-GGUF,
Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,20.61,2026-07-17 18:50,,
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,21.28,2026-08-23 10:41,,
Qwen3.6-35B-A3B-UD-Q6_K_XL.gguf,30.37,2026-08-23 09:55,,
Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-NEO-LOW-MTP-Q6_K.gguf,20.89,2026-08-19 21:00,unsloth/Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-NEO-LOW-MTP-GGUF,
Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-NEO-MTP-Q4_K_M.gguf,17.23,2026-08-19 21:04,unsloth/Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-NEO-MTP-GGUF,
Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-NEO-MTP-Q8_0.gguf,28.16,2026-08-19 20:54,unsloth/Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-NEO-MTP-GGUF,
Qwen3.8-27B-DFlash2-Q8_0.gguf,1.92,2026-08-28 15:24,dflash/D-Flash2-GGUF,
Qwen3.8-27B-UD-Q4_K_XL.gguf,16.35,2026-08-19 20:40,,
Qwen3.8-27B-UD-Q6_K_XL.gguf,23.56,2026-08-19 20:36,,
Qwen3.8-27B-UD-Q8_K_XL.gguf,29.30,2026-08-19 20:50,,
Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-Q4_K_P.gguf,16.69,2026-08-19 19:16,HauhauCS/Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-GGUF,
Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-Q6_K_P.gguf,24.14,2026-08-19 19:12,HauhauCS/Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-GGUF,
Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-Q8_K_P.gguf,29.30,2026-08-19 19:06,HauhauCS/Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-GGUF,
Qwythos-9B-v2-Q8_0.gguf,8.87,2026-07-18 12:04,,
Tiel-Coder-35B-A3B-MTP-UD-Q6_K_XL.gguf,30.49,2026-08-28 12:24,Qwen/Tiel-Coder-35B-A3B-GGUF,
VibeThinker-3B-heretic.i1-Q6_K.gguf,2.36,2026-07-17 18:50,,
diffusiongemma-26B-A4B-it-Q8_0.gguf,25.03,2026-07-17 18:55,unsloth/diffusiongemma-26B-A4B-it-GGUF,
gemma-4-26B-A4B-it-qat-UD-Q4_K_XL.gguf,13.27,2026-09-05 13:41,unsloth/gemma-4-26B-A4B-it-GGUF (app dl Sep5),
ibm-granite_granite-4.1-3b-Q4_K_M.gguf,2.02,2026-07-17 18:55,ibm-granite/granite-4.1-3b-GGUF,
mmproj-BF16-Qwen3.6-27b.gguf,0.87,2026-07-17 18:55,unsloth/Qwen3.6-27b-GGUF (mmproj),
mmproj-BF16-Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,0.84,2026-07-17 18:55,mmproj for Qwen3.6-35B-A3B,
mmproj-BF16-Tiel-Coder-35B-A3B-GGUF-MTP.gguf,0.84,2026-08-28 13:47,Qwen/Tiel-Coder-35B-A3B-GGUF (mmproj),
mmproj-BF16-gemma-4-12b.gguf,0.16,2026-07-17 18:55,,
mmproj-BF16-gemma-4-31B-it-qat-UD-Q4_K_XL.gguf,1.12,2026-07-17 18:55,mmproj for gemma-4-31B-it-qat,
mmproj-F16-Qwen3.6-27b.gguf,0.86,2026-07-17 18:56,unsloth/Qwen3.6-27b-GGUF (mmproj),
mmproj-F16-Qwen3.6-35B-A3B-MTP.gguf,0.84,2026-08-23 09:47,,
mmproj-F16-Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-MTP.gguf,0.86,2026-08-19 20:45,unsloth/Qwen3.8-27B-Cold-Fusion-GAIN-V1.1-NM-DAU-NEO-MAX-NEO-MTP-GGUF (mmproj),
mmproj-F16-Qwen3.8-27B.gguf,0.86,2026-08-14 12:14,,
mmproj-F16.gguf,1.11,2026-09-05 13:37,unsloth/gemma-4-26B-A4B-it-GGUF (app dl Sep5),
